distance,time,vehicle_type,cargo_weight,weather,traffic,road_condition,tolls,fuel_stops,emissions
755.3348365062513,16.335173377088633,Eicher,1325.456554397737,snow,light,paved,2,1,118.07321969320621
125.58638821471693,4.953340421005523,Eicher,3205.0175528444397,snow,heavy,unpaved,0,0,59.98958047849413
1446.7775568109812,28.011634646602737,BharatBenz,1318.2123524319527,clear,light,unpaved,4,0,271.8847362446584
1227.5872604975352,25.79098054263583,BharatBenz,709.9954844612694,snow,heavy,unpaved,2,2,181.6297568362144
938.8581575634801,12.08497205317919,Eicher,3233.9518335564726,clear,light,mixed,1,1,321.927588810541
1130.943553512623,21.951589698294445,BharatBenz,1870.7619612801682,clear,moderate,mixed,3,2,328.3492782559778
1668.057874354967,50.54410619442197,Mahindra Blazo X 55,4591.941809354519,snow,moderate,unpaved,1,1,1689.256081022678
1686.146701444047,26.86765044877077,Ashok Leyland Partner,4727.745237038851,rain,moderate,mixed,3,0,899.7530567759826
1690.6223588695213,46.30627307071264,Eicher,1721.0706429825316,clear,moderate,paved,3,0,305.34187274250894
1606.371991700539,23.52821103489875,Tata Prima,570.3638303353727,clear,light,mixed,2,2,138.35601853345395
1460.7242644015648,32.89850911619593,Tata Prima,3226.8198865145514,rain,heavy,unpaved,0,2,944.471094800574
904.4068415350248,17.259066806723922,Tata Prima,786.0125762871064,fog,moderate,paved,2,1,117.83864601790268
1775.5533577268898,35.5388796527245,Tata Prima,2223.1709363920545,fog,moderate,mixed,0,0,659.1299425198433
1544.2246881095764,40.15665340925115,Mahindra Blazo X 55,2852.297732218973,fog,moderate,unpaved,3,0,921.3536001487809
1792.5695553903035,31.90895290719744,Tata Prima,1914.60191484347,snow,moderate,paved,4,2,645.8417600420928
465.3083493283287,11.222991556528273,Mahindra Blazo X 55,3626.5321986786707,snow,moderate,unpaved,0,0,347.48088004066835
219.9335770622385,5.18967804777784,Ashok Leyland Partner,4116.524346046015,snow,moderate,unpaved,0,0,114.72746307133379
252.95502985433995,4.431253053734578,Tata Prima,1931.0156373733873,clear,light,paved,0,0,58.6152141841179
1637.8493841857612,60.939222099132046,Tata Prima,1871.5156617111306,rain,heavy,paved,4,0,502.531112337178
681.8541910932196,13.59450134187683,Mahindra Blazo X 55,1954.4131940933985,snow,light,paved,1,0,212.04726255505716
501.2833650488164,6.340174695754665,BharatBenz,3705.217654659989,clear,light,paved,2,0,212.48243864461816
827.9636565032803,23.16185286816871,Eicher,2052.8206161200733,clear,heavy,unpaved,1,0,215.31983682759184
